,target,nk,time
0,cpu,25,0.05148744583129883
1,cpu,25,0.05095863342285156
2,cpu,25,0.051148414611816406
3,cpu,25,0.050366878509521484
4,cpu,25,0.04994964599609375
5,cpu,25,0.050161123275756836
6,cpu,25,0.05022287368774414
7,cpu,25,0.05021953582763672
8,cpu,25,0.05045294761657715
9,cpu,25,0.049664974212646484
10,cpu,25,0.05010247230529785
11,cpu,25,0.0497899055480957
12,cpu,25,0.050275564193725586
13,cpu,25,0.04994797706604004
14,cpu,25,0.050583839416503906
15,cpu,25,0.05046343803405762
16,cpu,25,0.05091094970703125
17,cpu,25,0.050462961196899414
18,cpu,25,0.05057120323181152
19,cpu,25,0.05040740966796875
20,cpu,25,0.05023384094238281
21,cpu,25,0.05039548873901367
22,cpu,25,0.05122041702270508
23,cpu,25,0.050267696380615234
24,cpu,25,0.050186872482299805
25,cpu,25,0.05018877983093262
26,cpu,25,0.050189971923828125
27,cpu,25,0.05008363723754883
28,cpu,25,0.05041766166687012
29,cpu,25,0.05048680305480957
30,cpu,25,0.050684213638305664
31,cpu,25,0.04980731010437012
32,cpu,25,0.05033707618713379
33,cpu,25,0.04996895790100098
34,cpu,25,0.050220489501953125
35,cpu,25,0.04984712600708008
36,cpu,25,0.049698591232299805
37,cpu,25,0.04992794990539551
38,cpu,25,0.04989933967590332
39,cpu,25,0.05007743835449219
40,cpu,25,0.0499575138092041
41,cpu,25,0.05123448371887207
42,cpu,25,0.05099010467529297
43,cpu,25,0.05049848556518555
44,cpu,25,0.04983973503112793
45,cpu,25,0.05032706260681152
46,cpu,25,0.04982924461364746
47,cpu,25,0.0501859188079834
48,cpu,25,0.05011105537414551
49,cpu,25,0.050055742263793945
50,cpu,25,0.05023813247680664
51,cpu,25,0.050176382064819336
52,cpu,25,0.0497896671295166
53,cpu,25,0.049994468688964844
54,cpu,25,0.0500185489654541
55,cpu,25,0.04989457130432129
56,cpu,25,0.04971456527709961
57,cpu,25,0.05034661293029785
58,cpu,25,0.05002474784851074
59,cpu,25,0.04989004135131836
60,cpu,25,0.050267934799194336
61,cpu,25,0.05150461196899414
62,cpu,25,0.05060172080993652
63,cpu,25,0.049964189529418945
