,target,nk,time
0,gpu,25,0.041420698165893555
1,gpu,25,0.04103827476501465
2,gpu,25,0.04182171821594238
3,gpu,25,0.04205131530761719
4,gpu,25,0.039992332458496094
5,gpu,25,0.040265560150146484
6,gpu,25,0.04017353057861328
7,gpu,25,0.04112386703491211
8,gpu,25,0.04071950912475586
9,gpu,25,0.04313349723815918
10,gpu,25,0.04251503944396973
11,gpu,25,0.0401463508605957
12,gpu,25,0.04009413719177246
13,gpu,25,0.04085206985473633
14,gpu,25,0.03990912437438965
15,gpu,25,0.04087352752685547
16,gpu,25,0.04020380973815918
17,gpu,25,0.04125261306762695
18,gpu,25,0.042695045471191406
19,gpu,25,0.0408627986907959
20,gpu,25,0.03978848457336426
21,gpu,25,0.040543556213378906
22,gpu,25,0.042635202407836914
23,gpu,25,0.03981494903564453
24,gpu,25,0.040924787521362305
25,gpu,25,0.039969444274902344
26,gpu,25,0.0428767204284668
27,gpu,25,0.04371023178100586
28,gpu,25,0.04048275947570801
29,gpu,25,0.04001498222351074
30,gpu,25,0.04034280776977539
31,gpu,25,0.04077792167663574
32,gpu,25,0.04017210006713867
33,gpu,25,0.042029619216918945
34,gpu,25,0.042018890380859375
35,gpu,25,0.043375492095947266
36,gpu,25,0.04287314414978027
37,gpu,25,0.04140591621398926
38,gpu,25,0.041877031326293945
39,gpu,25,0.04246711730957031
40,gpu,25,0.040720462799072266
41,gpu,25,0.041345834732055664
42,gpu,25,0.040112972259521484
43,gpu,25,0.04035353660583496
44,gpu,25,0.04069018363952637
45,gpu,25,0.04146981239318848
46,gpu,25,0.04072999954223633
47,gpu,25,0.03984808921813965
48,gpu,25,0.04005885124206543
49,gpu,25,0.040752410888671875
50,gpu,25,0.04032611846923828
51,gpu,25,0.04187726974487305
52,gpu,25,0.041200876235961914
53,gpu,25,0.039949655532836914
54,gpu,25,0.040972232818603516
55,gpu,25,0.043039560317993164
56,gpu,25,0.04213213920593262
57,gpu,25,0.04274249076843262
58,gpu,25,0.04124736785888672
59,gpu,25,0.041604042053222656
60,gpu,25,0.04287552833557129
61,gpu,25,0.041429996490478516
62,gpu,25,0.04046463966369629
63,gpu,25,0.041156768798828125
64,gpu,25,0.04148578643798828
65,gpu,25,0.04093360900878906
66,gpu,25,0.04176497459411621
67,gpu,25,0.04375338554382324
68,gpu,25,0.043141841888427734
69,gpu,25,0.04316878318786621
70,gpu,25,0.045023202896118164
71,gpu,25,0.046410560607910156
72,gpu,25,0.044631242752075195
73,gpu,25,0.042847394943237305
74,gpu,25,0.04241657257080078
75,gpu,25,0.04283499717712402
76,gpu,25,0.04085516929626465
77,gpu,25,0.04009866714477539
78,gpu,25,0.04008626937866211
79,gpu,25,0.042268991470336914
80,gpu,25,0.040860652923583984
81,gpu,25,0.05501747131347656
82,gpu,25,0.050051212310791016
